Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,37181.058594,38350.785156,37042.054688,37866.671875,37866.671875,32278022256
2022-04-29,37861.710938,37881.097656,36255.777344,36618.867188,36618.867188,29290482147
2022-04-30,36615.109375,36771.933594,35754.011719,35770.070313,35770.070313,22663507357
2022-05-01,35768.542969,36635.972656,35647.636719,36515.671875,36515.671875,25631586954
2022-05-02,36518.609375,37167.527344,36357.863281,36660.191406,36660.191406,31325499196
2022-05-03,36659.035156,36719.820313,35711.640625,35865.914063,35865.914063,25962754911
2022-05-04,35863.593750,37683.828125,35831.230469,37377.128906,37377.128906,34605300951
2022-05-05,37374.656250,37479.437500,34032.960938,34702.277344,34702.277344,40898957356
2022-05-06,34700.414063,34757.800781,33570.816406,34167.515625,34167.515625,35830963371
2022-05-07,34169.015625,34251.890625,33124.601563,33656.562500,33656.562500,23108837311
2022-05-08,33657.496094,33657.496094,32143.244141,32338.113281,32338.113281,34905258350
2022-05-09,32338.826172,32533.076172,28681.095703,28681.095703,28681.095703,59976492993
2022-05-10,28659.039063,30856.837891,28347.607422,29463.818359,29463.818359,56805175250
2022-05-11,29457.433594,30325.943359,26794.289063,27527.039063,27527.039063,66960636984
2022-05-12,27527.398438,28532.648438,25197.892578,27988.466797,27988.466797,64546279091
2022-05-13,27972.240234,29749.226563,27733.041016,28124.664063,28124.664063,41146329651
2022-05-14,28127.103516,28998.375000,27567.421875,28910.460938,28910.460938,27449249017
2022-05-15,28907.886719,30108.962891,28359.623047,30106.001953,30106.001953,24845773973
2022-05-16,30105.291016,30106.222656,28059.666016,28606.675781,28606.675781,31241928469
2022-05-17,28606.185547,29153.964844,28087.500000,28842.556641,28842.556641,27587090999
2022-05-18,28841.250000,28996.382813,27422.689453,27422.689453,27422.689453,29871799896
2022-05-19,27422.773438,28738.650391,27379.529297,28653.017578,28653.017578,31922561452
2022-05-20,28649.978516,28987.601563,27297.951172,27637.302734,27637.302734,29103029911
2022-05-21,27636.468750,28004.650391,27473.238281,27856.394531,27856.394531,16349928209
2022-05-22,27856.628906,28770.267578,27707.759766,28690.759766,28690.759766,20466652625
2022-05-23,28677.205078,28839.826172,27123.064453,27236.609375,27236.609375,29468544949
2022-05-24,27238.681641,27733.650391,26835.779297,27630.464844,27630.464844,24798918266
2022-05-25,27628.181641,28148.824219,27579.449219,27662.062500,27662.062500,25755724941
2022-05-26,27664.322266,27900.906250,26415.781250,27268.742188,27268.742188,34263227320
2022-05-27,27253.755859,27332.509766,26394.171875,26674.601563,26674.601563,34086381316
2022-05-28,26669.990234,26849.146484,26606.574219,26849.146484,26849.146484,33096432048
2022-05-29,27040.132813,27486.480469,26873.566406,27443.308594,27443.308594,16863303101
2022-05-30,27440.892578,29631.015625,27310.224609,29448.531250,29448.531250,36457951191
2022-05-31,29446.187500,30046.552734,29248.611328,29616.634766,29616.634766,31243056728
2022-06-01,29616.861328,29788.951172,27699.986328,27979.697266,27979.697266,38624270013
2022-06-02,27975.763672,28473.605469,27821.353516,28337.810547,28337.810547,27050621073
2022-06-03,28338.107422,28471.873047,27401.083984,27708.939453,27708.939453,24417152700
2022-06-04,27710.570313,27922.912109,27518.285156,27831.812500,27831.812500,15475672800
2022-06-05,27833.867188,28097.535156,27590.683594,27881.742188,27881.742188,16095168744
2022-06-06,27885.119141,29626.507813,27865.507813,29346.384766,29346.384766,29885839078
2022-06-07,29347.384766,29415.992188,27457.542969,29123.798828,29123.798828,38112258051
2022-06-08,29120.060547,29219.076172,28037.962891,28192.894531,28192.894531,28218744385
2022-06-09,28193.755859,28560.138672,28284.824219,28356.046875,28356.046875,20427057156
2022-06-10,28354.476563,28450.841797,27545.003906,27648.169922,27648.169922,28393158151
2022-06-11,27648.988281,27950.578125,26840.496094,26958.935547,26958.935547,25899776264
2022-06-12,26971.011719,27093.796875,25513.984375,25513.984375,25513.984375,32569266905
2022-06-13,25490.082031,25545.843750,21262.470703,21592.951172,21592.951172,65491720208
2022-06-14,21593.527344,22084.058594,20144.820313,21274.751953,21274.751953,48776681576
2022-06-15,21265.111328,21666.794922,19254.548828,21586.835938,21586.835938,52513395637
2022-06-16,21590.150391,21868.658203,19215.791016,19324.800781,19324.800781,29566992964
2022-06-17,19328.658203,20222.208984,19288.179688,19498.513672,19498.513672,25842871784
2022-06-18,19500.363281,19750.498047,16871.785156,18118.945313,18118.945313,40024238817
2022-06-19,18112.523438,19728.083984,17213.371094,19593.433594,19593.433594,33680034304
2022-06-20,19593.527344,19867.447266,18762.990234,19581.447266,19581.447266,29295317918
2022-06-21,19576.462891,20469.611328,19389.306641,19665.748047,19665.748047,27508665511
2022-06-22,19674.119141,19716.912109,18783.962891,18918.742188,18918.742188,27047499341
2022-06-23,18918.343750,20078.339844,18883.224609,20044.783203,20044.783203,24895086063
2022-06-24,20043.615234,20341.917969,19733.669922,20113.363281,20113.363281,23643233429
2022-06-25,20115.214844,20387.386719,19860.359375,20369.789063,20369.789063,17404838729
2022-06-26,20364.251953,20636.353516,19896.689453,19901.283203,19901.283203,17061815516
2022-06-27,19902.175781,20292.884766,19475.283203,19598.343750,19598.343750,19815936954
2022-06-28,19594.626953,19982.814453,19223.582031,19272.830078,19272.830078,20319022534
2022-06-29,19273.337891,19340.898438,18932.667969,19245.863281,19245.863281,22547368054
2022-06-30,19249.968750,19290.115234,17866.332031,18881.335938,18881.335938,25067851481
2022-07-01,18915.447266,19707.171875,18245.089844,18476.548828,18476.548828,29501651034
2022-07-02,18481.792969,18574.716797,18244.230469,18450.552734,18450.552734,17355695111
2022-07-03,18450.398438,18762.560547,18186.574219,18496.458984,18496.458984,15710783136
2022-07-04,18496.687500,19415.781250,18274.808594,19391.966797,19391.966797,20698784642
2022-07-05,19386.304688,20098.140625,18851.300781,19685.341797,19685.341797,26047631600
2022-07-06,19689.734375,20225.490234,19312.757813,20175.707031,20175.707031,24152964859
2022-07-07,20175.283203,21416.761719,19885.148438,21278.945313,21278.945313,25387089351
2022-07-08,21278.519531,21904.480469,20942.013672,21332.742188,21332.742188,48985070722
2022-07-09,21318.714844,21476.087891,21052.808594,21196.376953,21196.376953,29097746702
2022-07-10,21195.273438,21195.273438,20347.154297,20517.044922,20517.044922,28216532104
